t2m_fc_mean,orog,station_alt,station_lat,station_lon,u_pl500_fc_mean,v_pl500_fc_mean,gh_pl500_fc_mean,u_pl850_fc_mean,v_pl850_fc_mean,q_pl850_fc_mean,cape_fc_mean,sp_fc_mean,tcc_fc_mean,sshf_fc_mean,slhf_fc_mean,u10_fc_mean,v10_fc_mean,ssr_fc_mean,str_fc_mean,d2m_fc_mean,sm_fc_mean
-3.4094293,401.9352,131.0,48.6703,7.9939,-2.9446037,2.5485208,5673.804,5.146094000000001,2.1486938,0.0016692843,0.0,98978.18,0.018433461,-2804420.5,-5568985.5,-1.951356,1.2141858,22575960.0,-16160663.0,262.90173,346.87012000000004
11.455545,291.7663,314.0,50.7364,8.2672,0.49190223,-2.041059,5866.024,1.225277,-0.5214783,0.005224534,0.07073894,99766.76,15.350529000000002,-3277729.0,-7428825.5,-1.2210038,-1.7729034,22076568.0,-10334386.0,284.4667,278.95596
-0.28317127,350.4385,304.0,50.0579,10.2972,6.706619,-4.312286,5668.584,7.8584337,2.8382504,0.0007251844,1.3396370000000002,99567.35,68.137024,3963713.5,-404647.3,1.0283779,1.6943061,1935886.5,-2828187.2,272.83688,354.28836
18.51433,481.33295,390.0,50.661,12.0757,9.144964,-0.7995821,5785.9507,4.661269,1.2847742,0.009739196,359.32422,95814.7,90.97605,-6759046.5,-15431133.0,1.6851377,1.0593596,39407524.0,-14351800.0,289.55362,229.30565
4.08635,28.809357,4.0,53.045,8.7979,6.456183,6.617128999999999,5566.1704,3.5079687000000006,13.855114000000002,0.0011121031,0.0,101460.76,28.07358,4627996.5,-1449837.1,-0.67671484,3.5917892,5687826.5,-10038992.0,275.4554,398.22986
8.176961,532.69617,734.0,48.6657,9.8646,-3.9318311,10.330889,5679.0127,-3.570751,2.3231177000000005,0.0046888146999999,0.0,94446.83,56.20408199999999,1573911.9,-3023708.2,-2.6835952,0.52736527,12505844.0,-9781972.0,279.27893,346.1169
0.81322867,175.75687,142.0,51.7953,11.132,10.259083,3.2105768,5355.4805,-4.616276,-9.734005,0.0016533632,0.0,98860.06,53.243217,-1064503.6,-3910634.2,0.95645225,-2.4676774,10752756.0,-11373352.0,269.85175,320.04327
8.357258,296.43872000000005,340.0,50.0083,9.4239,5.857325599999999,16.098485999999998,5417.9062,6.101007,10.548554,0.0051639265999999,17.346704000000003,96074.3,99.23875,162292.8,-7056593.5,0.86384934,2.4300954,15078780.0,-5312672.5,280.2765,342.41644
15.407166,662.68945,550.0,47.8827,11.1576,-5.5849934,-6.657482000000001,5768.6465,-9.323829,-4.1527376,0.009573518,15.129807,94193.29,78.77708,-698036.9,-11787835.0,-0.6958894,-1.5208309,14334496.0,-3465939.8,288.15857,419.15237
2.8401566000000003,37.253082,27.0,53.5731,10.6797,2.2497725,4.3524910000000006,5360.8955,1.9264772,4.095685,0.0035351089,4.0209790000000005,100246.86,98.35463,3302618.2,115999.75,-1.750606,1.3368793,1793408.8,-2065103.6,275.79843,333.3709
